,mean_ms,sd_ms,hdi_2.5%_ms,hdi_97.5%_ms,mean_log,hdi_2.5%_log,hdi_97.5%_log,samples_ms
surprisal_gpt2,24.643187199349356,0.44362604495504426,23.774224132947133,25.499993502876528,0.10263099531365455,0.09918712098601562,0.10601816844698456,"[25.09526068 24.51628374 24.65776679 ... 24.95947115 24.822596
 24.37522321]"
surprisal_opt_1_3b,0.3105946916995377,0.6366411478369399,-0.9321336326353975,1.5758248044951222,0.001357442890032408,-0.004096685375674261,0.0068877372833667724,"[ 0.52721602 -0.59621727  1.10007789 ... -0.68212413 -0.233171
  1.75750553]"
surprisal_mistral_base,-4.068692012370186,0.8835164816180672,-5.8278895143161895,-2.3274199535971403,-0.018014068333044315,-0.025893274999943122,-0.010260441009025794,"[-4.60027174 -2.11589259 -3.86244229 ... -4.99779868 -4.66019216
 -5.46375259]"
surprisal_phi2,-1.8042205014873156,0.41521409264558135,-2.6155135111078964,-0.9942110957716153,-0.007946408467827308,-0.011537856297356094,-0.004370110019009799,"[-2.28634144 -2.04686005 -1.4429708  ... -1.58579501 -1.69394076
 -1.4427944 ]"
surprisal_llama2_13b,-2.760030425983483,0.8761216818223885,-4.449811975187351,-1.004472186136846,-0.012186828033533463,-0.01970968518882185,-0.004415312928220635,"[-2.33521382 -4.10333884 -3.11005952 ... -0.72343995 -1.51682571
 -2.21614807]"
surprisal_pythia_12b,4.387314191139496,0.5253320197915561,3.3520782117031542,5.42808071293125,0.019057253296283008,0.014595069335107931,0.023528395198742263,[4.42831412 4.80709236 3.29594466 ... 3.84876411 4.15337702 3.68390007]
